dataset_size,strategy,operation,mode,median_ns,p95_ns,mean_ns,min_ns,max_ns,count
100,LINEAR,exact lookup,warm,2200,5100,2424.700,400,75600,1000
100,LINEAR,exact lookup,cold,500,800,530.000,100,900,20
100,LINEAR,prefix search,warm,4500,9400,5291.400,2200,180000,1000
100,TRIE,prefix search,warm,9500,48200,14322.900,100,210400,1000
100,PathResolver,path resolution,warm,3000,25800,8062.400,2500,190000,1000
100,directory index,ls / ordered traversal,warm,400,700,567.000,300,37300,1000
100,HASH,exact lookup,warm,300,500,400.300,100,38500,1000
100,HASH,exact lookup,cold,400,900,500.000,200,900,20
100,RB_TREE,exact lookup,warm,300,1400,658.000,100,23600,1000
100,RB_TREE,exact lookup,cold,400,700,425.000,200,700,20
100,HYBRID,exact lookup,warm,200,200,262.900,100,62900,1000
100,HYBRID,exact lookup,cold,300,400,295.000,200,400,20
100,ADAPTIVE(5,50),exact lookup,warm,200,200,257.300,100,36000,1000
100,ADAPTIVE(5,50),exact lookup,cold,600,1400,760.000,300,1500,20
1000,LINEAR,exact lookup,warm,1700,2900,1749.400,300,8600,1000
1000,LINEAR,exact lookup,cold,3000,4400,2840.000,700,4700,20
1000,LINEAR,prefix search,warm,7100,23300,9870.300,5400,185400,1000
1000,TRIE,prefix search,warm,40400,118400,48862.400,100,218300,1000
1000,PathResolver,path resolution,warm,2500,5600,3591.200,2200,119500,1000
1000,directory index,ls / ordered traversal,warm,900,1300,971.000,600,17800,1000
1000,HASH,exact lookup,warm,100,200,128.200,0,2100,1000
1000,HASH,exact lookup,cold,500,1000,525.000,300,1100,20
1000,RB_TREE,exact lookup,warm,200,400,231.100,100,2800,1000
1000,RB_TREE,exact lookup,cold,600,1100,630.000,300,1300,20
1000,HYBRID,exact lookup,warm,100,100,100.000,0,3500,1000
1000,HYBRID,exact lookup,cold,200,400,215.000,100,500,20
1000,ADAPTIVE(5,50),exact lookup,warm,100,100,104.700,0,3900,1000
1000,ADAPTIVE(5,50),exact lookup,cold,3500,4500,3540.000,3000,4700,20
10000,LINEAR,exact lookup,warm,28000,45800,25680.000,4700,46200,100
10000,LINEAR,exact lookup,cold,7900,11200,8560.000,7800,11200,5
10000,LINEAR,prefix search,warm,74800,134400,85166.000,58900,193700,100
10000,TRIE,prefix search,warm,396800,999600,483355.000,200,7087900,100
10000,PathResolver,path resolution,warm,5200,6000,5394.000,4800,15100,100
10000,directory index,ls / ordered traversal,warm,4000,4700,4150.000,3700,4900,20
10000,HASH,exact lookup,warm,100,100,97.000,0,200,100
10000,HASH,exact lookup,cold,400,600,420.000,200,600,5
10000,RB_TREE,exact lookup,warm,200,400,240.000,100,4000,100
10000,RB_TREE,exact lookup,cold,3700,4200,2720.000,900,4200,5
10000,HYBRID,exact lookup,warm,100,100,93.000,0,300,100
10000,HYBRID,exact lookup,cold,3100,3600,2900.000,2200,3600,5
50000,HASH,exact lookup,warm,100,100,88.000,0,200,50
50000,HASH,exact lookup,cold,3500,5500,3180.000,1600,5500,5
50000,LINEAR,prefix search,warm,715400,1057200,742290.000,447200,1088300,50
50000,TRIE,prefix search,warm,1793500,4900400,2712980.000,500,31278800,50
50000,PathResolver,path resolution,warm,1700,1900,1754.000,1500,2400,50
50000,directory index,ls / ordered traversal,warm,44832100,49244700,44847040.000,41122600,49244700,10
